Region,Year,Category,Value,Criteria
World,2019,Total,52.9,"Percentage of individuals using the Internet, by gender"
Low-income,2019,Total,17.2,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2019,Total,33.5,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2019,Total,64.5,"Percentage of individuals using the Internet, by gender"
High-income,2019,Total,87.5,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2019,Total,21.8,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2019,Total,27.5,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2019,Total,56.0,"Percentage of individuals using the Internet, by gender"
Africa,2019,Total,25.1,"Percentage of individuals using the Internet, by gender"
Americas,2019,Total,76.0,"Percentage of individuals using the Internet, by gender"
Arab States,2019,Total,53.8,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2019,Total,48.3,"Percentage of individuals using the Internet, by gender"
CIS,2019,Total,76.2,"Percentage of individuals using the Internet, by gender"
Europe,2019,Total,81.8,"Percentage of individuals using the Internet, by gender"
World,2019,Total,76.4,"Percentage of individuals using the Internet, by gender"
Low-income,2019,Total,49.7,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2019,Total,67.6,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2019,Total,81.0,"Percentage of individuals using the Internet, by gender"
High-income,2019,Total,95.0,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2019,Total,56.8,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2019,Total,58.7,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2019,Total,71.3,"Percentage of individuals using the Internet, by gender"
Africa,2019,Total,60.8,"Percentage of individuals using the Internet, by gender"
Americas,2019,Total,87.0,"Percentage of individuals using the Internet, by gender"
Arab States,2019,Total,82.1,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2019,Total,73.0,"Percentage of individuals using the Internet, by gender"
CIS,2019,Total,91.7,"Percentage of individuals using the Internet, by gender"
Europe,2019,Total,93.4,"Percentage of individuals using the Internet, by gender"
World,2020,Total,58.6,"Percentage of individuals using the Internet, by gender"
Low-income,2020,Total,18.4,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2020,Total,42.9,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2020,Total,70.3,"Percentage of individuals using the Internet, by gender"
High-income,2020,Total,88.5,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2020,Total,24.9,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2020,Total,30.3,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2020,Total,60.1,"Percentage of individuals using the Internet, by gender"
Africa,2020,Total,28.0,"Percentage of individuals using the Internet, by gender"
Americas,2020,Total,80.0,"Percentage of individuals using the Internet, by gender"
Arab States,2020,Total,60.4,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2020,Total,55.8,"Percentage of individuals using the Internet, by gender"
CIS,2020,Total,79.5,"Percentage of individuals using the Internet, by gender"
